level,level_name,field_of_study,academic_field
bachelor,bachelor,"Bachelor of Business Administration - BBA, First Class Honours",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Global Business and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Information Management (Internet Service and Social Networks)",information management
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business and Chinese Enterprise",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business Management",business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Management Information Systems, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing & Information System ",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing Communications",marketing
bachelor,bachelor,Bachelor of Business Administration - Finance,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.)			  	         2007, 2010; International Business and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) - Magna Cum Laude, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) with Merit, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Economics / International Business",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Operations Management",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management, Marketing, and Related Support Services",business
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Fiance and Banking",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Finance, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), International Business/Trade/Commerce",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing & Human Resource Management",human resources
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing and Technopreneurship",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing Major",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing/Marketing Management, General",marketing
bachelor,bachelor,Bachelor of Business Administration (BBA),business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA)
(First Class Honours), Tourism and Hospitality Management, Human Resources Consulting",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA) - IBGM, Global business and Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting",accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business",business
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business/Managerial Economics",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Development",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Management and Services",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business and Global Management",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business, Marketing, Management ",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing/Marketing Management, General",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Professional Accounting / Organizational Management",accounting
bachelor,bachelor,Bachelor of Business Administration (Honors),business administration
bachelor,bachelor,Bachelor of Business Administration (Honors),business
bachelor,bachelor,"Bachelor of Business Administration (Honours), Accountancy and Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration (Honours), Business, Major in Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (Hons), Operations and Supply Chain Management, and Management and Human Capital",business administration
bachelor,bachelor,"Bachelor of Business Administration and Analytics (BBA), Business, Management, Analytics, Statistics",business management
bachelor,bachelor,"Bachelor of Business Administration, Marketing and Management",marketing
bachelor,bachelor,"Bachelor of Business and Commerce, Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Business and Commerce, Marketing + Banking & Finance",marketing
bachelor,bachelor,"Bachelor of business information Systems / Bachelor Of Business, Finance, General",business
bachelor,bachelor,Bachelor of Business Management,business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Finance",business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Marketing",business management
bachelor,bachelor,"Bachelor of Business Management , Business Administration and Management, General",business management
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance",finance
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance Major",business
bachelor,bachelor,"Bachelor of Business Management (BBM), Marketing and Finance",business management
bachelor,bachelor,"Bachelor of Business Management (Honours), Marketing & Corporate Communications",business
bachelor,bachelor,"Bachelor of Business Management (Hons), Human Resource, Management and Marketing",business management
bachelor,bachelor,"Bachelor of Business Management, Double Majors in Finance and Corporate Communications",business management
bachelor,bachelor,"Bachelor of Business Management, Investment Finance and Strategic Management, Cum Laude",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Corporate Communications",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Operations Management",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing/Corporate Communication",business management
bachelor,bachelor,"Bachelor of Business Management, Organisational Behaviour and Human Resources",human resources
bachelor,bachelor,"Bachelor of Business Managment, International Business",business
bachelor,bachelor,"Bachelor of Business Studies, Management",business
unknown,unknown,BA in Computer Science,computer science
